Feature,Beta,OR,CI_low,CI_high,p_value,N,Error,p_value_fdr,significant_fdr
mvpa_bout1,-0.15134032673866932,0.8595551192852845,0.6249490413279658,1.182232396932037,0.3520554938317916,575,,0.5813009316757489,False
mean_acc_24h,-0.6935615124379798,0.49979287697278224,0.10937452418174425,2.283830917130734,0.37096181138371354,575,,0.592942266659553,False
mvpa_acc_5sec,-0.10852703617306085,0.8971546388609998,0.7056009246968696,1.1407105884613102,0.3758084788687308,575,,0.592942266659553,False
mean_acc_5to9,-0.7513473876289546,0.47173052047874436,0.08247572879398188,2.6981232806927884,0.39841758100671765,575,,0.6068485568815648,False
mEmploy_s-emp,-0.2130594322475835,0.8081081081081083,0.4883715827424924,1.3371759075801897,0.40699644469437035,1321,,0.6068485568815648,False
fNeurotic,-0.0514902105048237,0.9498129481059613,0.8402533830833662,1.0736578448268272,0.41026381310302973,1321,,0.6068485568815648,False
mvpa_bout5,-0.1471299882162943,0.8631817666652531,0.5993911839415021,1.2430659346769175,0.42912241701320875,575,,0.6154828418542041,False
m5_hour_start,-0.07430198315171058,0.928391292976576,0.7708835517653786,1.118081182171914,0.43343862102408737,575,,0.6154828418542041,False
fExtravert,-0.04568645800641832,0.9553414549008112,0.845667109593673,1.0792394372420642,0.46275245898836537,1321,,0.6442240115328224,False
mvpa_bout10,-0.13119952071525107,0.8770427687324738,0.6049227821230321,1.2715738949132172,0.48876111214196516,575,,0.6673469031169139,False
fAgree,-0.03912929189474052,0.9616263706130687,0.8525168959836441,1.0847002341126668,0.5242459089922158,1321,,0.7022916894046665,False
mReligion_christian,-0.07488356399099075,0.9278515153665983,0.7225215804977346,1.1915331774242999,0.5573413342545748,1321,,0.7328006431865706,False
mReligion_other,-0.6068915187016922,0.5450424929178461,0.063454927934209,4.6816114801061355,0.5801799483746181,1321,,0.7489595697199616,False
child_autism_Yes,0.18929427534059307,1.208396501457726,0.5882802167541729,2.482188017118824,0.6062657017385271,1321,,0.7686583004184898,False
mAge,-0.029119531190183012,0.9713003568398234,0.8599281493162357,1.0970967562200677,0.6393266054252388,1321,,0.7855421044163609,False
fOpenness,0.027645507585946805,1.0280311905616237,0.9095789260558486,1.1619092070990424,0.658040075700324,1321,,0.7855421044163609,False
mEmploy_semi-rou and routine,-0.07246728269626233,0.9300961764015948,0.6736920196138905,1.2840866036273735,0.6596467577205517,1321,,0.7855421044163609,False
mAlcohol_binary_high risk,0.07670097534355086,1.0797191654633274,0.7635046733529882,1.526897630042203,0.664420777892945,1321,,0.7855421044163609,False
mReligion_hindu,0.21922863048470353,1.2451159156030212,0.42955742973614275,3.6090951662510773,0.6863925088768648,1321,,0.7855421044163609,False
cog_risk_adjustment,0.024792329378617417,1.0251022148041333,0.9078009069729002,1.1575605870458876,0.6892537496052051,1321,,0.7855421044163609,False
cog_decision_making,0.024397430610725468,1.024697483121825,0.9062631476805115,1.1586093229141927,0.6970303180032498,1321,,0.7855421044163609,False
l5_mean_acc,-0.14977396207078408,0.8609025510635042,0.3824107078785339,1.9381078697803202,0.7175371494422904,575,,0.7960177751625409,False
mOpenness,0.019536793276636353,1.0197288853374127,0.9026608434877691,1.1519797353495946,0.7535127618785867,1321,,0.8230677860519947,False
child_specneeds_Yes,0.0785726728092124,1.081741965533302,0.5874915931150393,1.9917998720480696,0.8008321508369431,1321,,0.8609643719066022,False
knockedout_Yes,0.15884920060881222,1.1721611721611718,0.30143725047464465,4.5580359141373705,0.8186670786755732,1321,,0.8609643719066022,False
FPROSOC,-0.013017434163209423,0.9870669261843875,0.8743180823464581,1.1143554461921987,0.833394109175954,1321,,0.8609643719066022,False
l5_hour_start,0.01942504716294208,1.0196149409639934,0.847635109712817,1.226488398043392,0.8367118543881065,575,,0.8609643719066022,False
mAgree,-0.010498320424514297,0.9895565946015015,0.8764389865685328,1.117273728035774,0.8653960794940223,1321,,0.8777588806296511,False
mReligion_jewish,-44.18872296435599,6.442900942010217e-20,0.0,inf,0.9999999945824203,1321,,0.9999999945824203,False
